"pagename","pageviewcount","datetime"
ВКонтакте,481,2025-01-05 12:00:00.000
Яндекс,930,2025-01-05 12:00:00.000
Mail.ru,93,2025-01-05 12:00:00.000
ВКонтакте,542,2025-01-06 12:00:00.000
Яндекс,991,2025-01-06 12:00:00.000
Mail.ru,117,2025-01-06 12:00:00.000
ВКонтакте,506,2025-01-07 12:00:00.000
Яндекс,1153,2025-01-07 12:00:00.000
Mail.ru,85,2025-01-07 12:00:00.000
ВКонтакте,523,2025-01-08 12:00:00.000
Яндекс,1172,2025-01-08 12:00:00.000
Mail.ru,126,2025-01-08 12:00:00.000
ВКонтакте,626,2025-01-09 12:00:00.000
Яндекс,1247,2025-01-09 12:00:00.000
Mail.ru,169,2025-01-09 12:00:00.000
ВКонтакте,589,2025-01-10 12:00:00.000
Яндекс,1138,2025-01-10 12:00:00.000
Mail.ru,180,2025-01-10 12:00:00.000
ВКонтакте,410,2025-01-11 12:00:00.000
Яндекс,935,2025-01-11 12:00:00.000
Mail.ru,75,2025-01-11 12:00:00.000
ВКонтакте,459,2025-01-12 12:00:00.000
Яндекс,1018,2025-01-12 12:00:00.000
Mail.ru,79,2025-01-12 12:00:00.000
ВКонтакте,496,2025-01-13 12:00:00.000
Яндекс,1105,2025-01-13 12:00:00.000
Mail.ru,152,2025-01-13 12:00:00.000
ВКонтакте,379,2025-01-14 12:00:00.000
Яндекс,965,2025-01-14 12:00:00.000
Mail.ru,184,2025-01-14 12:00:00.000
ВКонтакте,466,2025-01-15 12:00:00.000
Яндекс,1173,2025-01-15 12:00:00.000
Mail.ru,126,2025-01-15 12:00:00.000
ВКонтакте,591,2025-01-16 12:00:00.000
Яндекс,1006,2025-01-16 12:00:00.000
Mail.ru,146,2025-01-16 12:00:00.000
ВКонтакте,704,2025-01-17 12:00:00.000
Яндекс,1320,2025-01-17 12:00:00.000
Mail.ru,131,2025-01-17 12:00:00.000
ВКонтакте,497,2025-01-18 12:00:00.000
Яндекс,1248,2025-01-18 12:00:00.000
Mail.ru,80,2025-01-18 12:00:00.000
ВКонтакте,482,2025-01-19 12:00:00.000
Яндекс,1165,2025-01-19 12:00:00.000
Mail.ru,99,2025-01-19 12:00:00.000
ВКонтакте,718,2025-01-20 12:00:00.000
Яндекс,1323,2025-01-20 12:00:00.000
Mail.ru,186,2025-01-20 12:00:00.000
ВКонтакте,648,2025-01-21 12:00:00.000
Яндекс,1599,2025-01-21 12:00:00.000
Mail.ru,173,2025-01-21 12:00:00.000
ВКонтакте,564,2025-01-22 12:00:00.000
Яндекс,1311,2025-01-22 12:00:00.000
Mail.ru,173,2025-01-22 12:00:00.000
ВКонтакте,916,2025-01-23 12:00:00.000
Яндекс,1555,2025-01-23 12:00:00.000
Mail.ru,136,2025-01-23 12:00:00.000
ВКонтакте,757,2025-01-24 12:00:00.000
Яндекс,1183,2025-01-24 12:00:00.000
Mail.ru,147,2025-01-24 12:00:00.000
ВКонтакте,640,2025-01-25 12:00:00.000
Яндекс,1031,2025-01-25 12:00:00.000
Mail.ru,131,2025-01-25 12:00:00.000
ВКонтакте,541,2025-01-26 12:00:00.000
Яндекс,1047,2025-01-26 12:00:00.000
Mail.ru,184,2025-01-26 12:00:00.000
ВКонтакте,991,2025-01-27 12:00:00.000
Яндекс,1306,2025-01-27 12:00:00.000
Mail.ru,159,2025-01-27 12:00:00.000
ВКонтакте,835,2025-01-28 12:00:00.000
Яндекс,1031,2025-01-28 12:00:00.000
Mail.ru,175,2025-01-28 12:00:00.000
ВКонтакте,889,2025-01-29 12:00:00.000
Яндекс,1045,2025-01-29 12:00:00.000
Mail.ru,125,2025-01-29 12:00:00.000
ВКонтакте,815,2025-01-30 12:00:00.000
Яндекс,1069,2025-01-30 12:00:00.000
Mail.ru,245,2025-01-30 12:00:00.000
ВКонтакте,568,2025-01-31 12:00:00.000
Яндекс,952,2025-01-31 12:00:00.000
Mail.ru,144,2025-01-31 12:00:00.000
ВКонтакте,283,2025-02-01 12:00:00.000
Яндекс,973,2025-02-01 12:00:00.000
Mail.ru,77,2025-02-01 12:00:00.000
ВКонтакте,267,2025-02-02 12:00:00.000
Яндекс,831,2025-02-02 12:00:00.000
Mail.ru,85,2025-02-02 12:00:00.000
ВКонтакте,645,2025-02-03 12:00:00.000
Яндекс,1095,2025-02-03 12:00:00.000
Mail.ru,214,2025-02-03 12:00:00.000
ВКонтакте,520,2025-02-04 12:00:00.000
Яндекс,1013,2025-02-04 12:00:00.000
Mail.ru,145,2025-02-04 12:00:00.000
ВКонтакте,346,2025-02-05 12:00:00.000
Яндекс,1298,2025-02-05 12:00:00.000
Mail.ru,127,2025-02-05 12:00:00.000
ВКонтакте,369,2025-02-06 12:00:00.000
Яндекс,1402,2025-02-06 12:00:00.000
Mail.ru,255,2025-02-06 12:00:00.000
ВКонтакте,412,2025-02-07 12:00:00.000
Яндекс,996,2025-02-07 12:00:00.000
Mail.ru,127,2025-02-07 12:00:00.000
ВКонтакте,345,2025-02-08 12:00:00.000
Яндекс,950,2025-02-08 12:00:00.000
Mail.ru,56,2025-02-08 12:00:00.000
ВКонтакте,350,2025-02-09 12:00:00.000
Яндекс,1380,2025-02-09 12:00:00.000
Mail.ru,314,2025-02-09 12:00:00.000
ВКонтакте,513,2025-02-10 12:00:00.000
Яндекс,1620,2025-02-10 12:00:00.000
Mail.ru,266,2025-02-10 12:00:00.000
ВКонтакте,334,2025-02-11 12:00:00.000
Яндекс,1428,2025-02-11 12:00:00.000
Mail.ru,158,2025-02-11 12:00:00.000
ВКонтакте,596,2025-02-12 12:00:00.000
Яндекс,1350,2025-02-12 12:00:00.000
Mail.ru,265,2025-02-12 12:00:00.000
ВКонтакте,539,2025-02-13 12:00:00.000
Яндекс,1196,2025-02-13 12:00:00.000
Mail.ru,264,2025-02-13 12:00:00.000
ВКонтакте,440,2025-02-14 12:00:00.000
Яндекс,1449,2025-02-14 12:00:00.000
Mail.ru,150,2025-02-14 12:00:00.000
ВКонтакте,429,2025-02-15 12:00:00.000
Яндекс,1309,2025-02-15 12:00:00.000
Mail.ru,69,2025-02-15 12:00:00.000
ВКонтакте,1077,2025-02-16 12:00:00.000
Яндекс,1292,2025-02-16 12:00:00.000
Mail.ru,92,2025-02-16 12:00:00.000
ВКонтакте,1110,2025-02-17 12:00:00.000
Яндекс,1407,2025-02-17 12:00:00.000
Mail.ru,184,2025-02-17 12:00:00.000
ВКонтакте,1260,2025-02-18 12:00:00.000
Яндекс,1559,2025-02-18 12:00:00.000
Mail.ru,168,2025-02-18 12:00:00.000
ВКонтакте,793,2025-02-19 12:00:00.000
Яндекс,1580,2025-02-19 12:00:00.000
Mail.ru,210,2025-02-19 12:00:00.000
ВКонтакте,582,2025-02-20 12:00:00.000
Яндекс,1409,2025-02-20 12:00:00.000
Mail.ru,156,2025-02-20 12:00:00.000
ВКонтакте,911,2025-02-21 12:00:00.000
Яндекс,1597,2025-02-21 12:00:00.000
Mail.ru,128,2025-02-21 12:00:00.000
ВКонтакте,798,2025-02-22 12:00:00.000
Яндекс,1164,2025-02-22 12:00:00.000
Mail.ru,75,2025-02-22 12:00:00.000
ВКонтакте,373,2025-02-23 12:00:00.000
Яндекс,1143,2025-02-23 12:00:00.000
Mail.ru,125,2025-02-23 12:00:00.000
ВКонтакте,808,2025-02-24 12:00:00.000
Яндекс,1841,2025-02-24 12:00:00.000
Mail.ru,168,2025-02-24 12:00:00.000
ВКонтакте,438,2025-02-25 12:00:00.000
Яндекс,1683,2025-02-25 12:00:00.000
Mail.ru,130,2025-02-25 12:00:00.000
ВКонтакте,603,2025-02-26 12:00:00.000
Яндекс,1365,2025-02-26 12:00:00.000
Mail.ru,143,2025-02-26 12:00:00.000
ВКонтакте,586,2025-02-27 12:00:00.000
Яндекс,1631,2025-02-27 12:00:00.000
Mail.ru,125,2025-02-27 12:00:00.000
ВКонтакте,380,2025-02-28 12:00:00.000
Яндекс,1629,2025-02-28 12:00:00.000
Mail.ru,164,2025-02-28 12:00:00.000
ВКонтакте,734,2025-03-01 12:00:00.000
Яндекс,1514,2025-03-01 12:00:00.000
Mail.ru,64,2025-03-01 12:00:00.000
ВКонтакте,757,2025-03-02 12:00:00.000
Яндекс,1379,2025-03-02 12:00:00.000
